Helen\295.png
29
96.6461 94.0001 101 90
196.354 86.313 192 84
133.198 90.0544 129 87
157.961 87.6962 157 86
112.554 83.1394 114 83
113.008 90.0618 114 89
175.953 78.2422 175 78
176.498 84.6581 176 83
107.083 100.903 108 99
186.937 96.8385 181 94
131.293 99.9907 129 98
162.78 97.9023 161 96
118.261 95.2632 119 93
117.848 103.354 118 102
174.311 91.2602 172 90
175.403 99.4889 174 99
118.665 98.4443 119 98
174.36 94.5974 174 95
133.874 132.598 132 128
162.98 130.024 158 127
146.594 125.415 144 122
149.113 137.607 145 133
129.682 159.051 133 154
172.58 155.159 168 153
150.231 145.914 149 145
149.451 153.21 150 151
150.006 157.115 150 155
149.709 163.876 150 163
151.722 190.017 155 184
