lfw\test\88\img.jpg
29
235.186 140.422 235.009 130.357
353.792 134.215 356.901 128.023
277.912 138.458 276.416 135.426
311.114 135.47 319.032 134.038
255.047 116.368 254.674 120.334
253.491 136.273 256.814 127.562
335.713 121.196 337.518 118.121
336.92 130.12 337.229 125.201
247.041 155.921 249.018 146.48
345.433 150.247 344.472 147.312
273.008 154.426 278.197 149.055
315.906 151.327 314.624 148.459
262.695 146.725 263.982 139.259
262.31 159.494 263.995 150.628
329.301 144.72 329.646 137.269
331.325 152.327 330.376 150.951
260.231 154.267 263.807 146.455
327.989 147.862 329.448 145.577
275.595 192.26 276.642 192.085
319.596 188.507 321.173 193.988
299.111 196.373 299.352 191.831
301.732 208.642 300.874 207.563
265.732 230.309 263.795 225.15
326.752 227.856 330.702 223.531
294.415 221.031 297.188 212.643
296.069 226.4 297.512 217.702
294.777 243.699 294.679 252.795
294.383 259.318 295.69 264.412
294.493 249.469 296.141 292.351
