BioID-FaceDatabase\BioID_0313.pgm
29
127.298 58.0344 125.581 63.3973
258.185 56.2091 262.335 61.1628
177.899 57.1633 179.657 57.1406
213.549 58.2466 215.41 58.4813
150.663 45.215 0 0
150.243 58.3839 0 0
235.741 47.3548 0 0
238.034 55.9149 0 0
139.95 73.8661 141.67 76.8046
249.478 74.3719 250.268 79.0391
173.276 74.7785 170.272 74.1231
218.351 74.2007 222.113 74.57
156.403 64.8329 0 0
157.649 76.773 0 0
233.975 65.6523 0 0
234.185 77.9955 0 0
154.673 71.4886 156.418 73.6762
233.654 70.6705 237.308 73.6762
175.306 122.162 185.914 114.345
219.071 121.154 210.94 114.792
194.706 118.532 199.321 103.172
193.199 129.065 0 0
157.403 155.086 164.462 155.46
225.397 154.442 226.135 154.12
195.088 148.412 197.475 145.696
195.151 153.912 0 0
195.049 157.349 0 0
197.801 169.585 197.533 172.89
194.202 205.579 0 0
